Sum of Sales,Store Name
69678,Sam's Club 6344 / Windsor Heights
57867,Hy-Vee Wine and Spirits / Iowa City
54474,Sam's Club 6432 / Sioux City
50072,Sam's Club 8238 / Davenport
45577,Sam's Club 8162 / Cedar Rapids
43229,Hy-Vee #3 / BDI / Des Moines
40748,Mississippi River Distillery
38584,Hy-Vee Wine and Spirits #2
37758,Hy-Vee Food and Drug / Clinton
37565,Hy-Vee #3 Food and Drugstore
37375,Sam's Club 4973 / Dubuque
27066,Costco Wholesale #1111 / Coralville
26195,Lot-A-Spirits
24894,Central City 2
23741,Sam's Club 6472 / Council Bluffs
22609,Hy-Vee #2 / Dubuque
21774,B and C Liquor / Maquoketa
21594,Hy-Vee #1044 / Burlington
21274,Beecher Beverage
20785,Liquor Downtown / Iowa City
20703,Sid's Beverage Shop
20505,Hy-Vee Food Store #3 / Cedar Rapids
20480,Iowa Street Market  Inc.
19541,Hy-Vee #5 / Davenport
18963,Wilkie Liquors
17814,Hy-Vee Food Store / Dubuque
17636,Hy-Vee #3 / Dubuque
17515,Hy-Vee Food Store / Carroll
17291,Hy-Vee Food Store #1 / Council Bluff
16802,Hy-Vee Wine and Spirits / Bettendorf
16409,Sam's Club 6568 / Ames
16060,Hillstreet News and Tobacco
15912,Hy-Vee Wine and Spirits / Boone
15593,Benz Distributing
15566,Charlie's Wine and Spirits 
15356,Hy-Vee #4 / Davenport
15167,Hy-Vee Food Store / Marshalltown
14489,Okoboji Avenue Liquor
14397,Hy-Vee Food Store / Marion
14296,Hy-Vee Fort Dodge Wine and Spirits
14270,Hy-Vee Drugstore / Davenport
14025,Sam's Club 6514 / Waterloo
13984,Hy-Vee Food Store #5 / Cedar Rapids
13922,Hy-Vee Food Store / Johnston
13796,Hy-vee  #2 / Ames
13708,Hy-Vee Wine and Spirits / Red Oak
13586,Hy-Vee Food Store #5 / Des Moines
13540,Hy-Vee Wine and Spirits / Coralville
13467,Hy-Vee Drugstore #5 / Cedar Rapids
13446,Hy-Vee Food Store / Mount Pleasant
